央视频道,#genre#
NewTV精品体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
NewTV精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
NewTV精品纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
NewTV金牌综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
NewTV超级综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
NewTV精品萌宠,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8
NewTV超级体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8



成人频道_66666666,#genre#

蜜桃成熟时33D,https://v5.jindangao.com/jj/j4/11/hls/index.m3u8
新金瓶梅一,https://v6.jindangao.com/bb/b13/25/500kb/hls/index.m3u8
新金瓶梅二,https://v6.jindangao.com/bb/b13/26/500kb/hls/index.m3u8
新金瓶梅三,https://v6.jindangao.com/bb/b13/27/500kb/hls/index.m3u8
新金瓶梅四,https://v6.jindangao.com/bb/b13/28/500kb/hls/index.m3u8
新金瓶梅五,https://v6.jindangao.com/bb/b13/29/500kb/hls/index.m3u8
西游记之八戒招亲,https://v5.jindangao.com/jj/j10/22/hls/index.m3u8
西游记之生咸白骨金,https://v5.jindangao.com/jj/j10/21/hls/index.m3u8
西游记之盘丝洞,https://v5.jindangao.com/jj/j10/19/hls/index.m3u8
西游记之反转死亡宝塔,https://v5.jindangao.com/jj/j10/17/hls/index.m3u8
西游记之铁扇公主,https://v5.jindangao.com/jj/j10/18/hls/index.m3u8
艇妹,https://v6.jindangao.com/dd/d1/34/500kb/hls/index.m3u8
我来自北京,https://v5.jindangao.com/fff/ff7/8/hls/index.m3u8
内蒲团之夜销魂,https://v6.jindangao.com/aa/a30/28/500kb/hls/index.m3u8
梁祝燕谭1集,https://v6.jindangao.com/dd/d16/2/1/700kb/hls/index.m3u8
梁祝燕谭2集,https://v6.jindangao.com/dd/d16/2/2/700kb/hls/index.m3u8
梁祝燕谭3集,https://v6.jindangao.com/dd/d16/2/3/700kb/hls/index.m3u8
梁祝燕谭4集,https://v6.jindangao.com/dd/d16/2/4/700kb/hls/index.m3u8
梁祝燕谭6集,https://v6.jindangao.com/dd/d16/2/6/700kb/hls/index.m3u8
梁祝燕谭7集,https://v6.jindangao.com/dd/d16/2/7/700kb/hls/index.m3u8
梁祝燕谭8集,https://v6.jindangao.com/dd/d16/2/8/700kb/hls/index.m3u8
梁祝燕谭9集,https://v6.jindangao.com/dd/d16/2/9/700kb/hls/index.m3u8
梁祝燕谭10集,https://v6.jindangao.com/dd/d16/2/10/700kb/hls/index.m3u8
梁祝燕谭11集,https://v6.jindangao.com/dd/d16/2/11/700kb/hls/index.m3u8
梁祝燕谭12集,https://v6.jindangao.com/dd/d16/2/12/700kb/hls/index.m3u8
梁祝燕谭13集,https://v6.jindangao.com/dd/d16/2/13/700kb/hls/index.m3u8
梁祝燕谭14集,https://v6.jindangao.com/dd/d16/2/14/700kb/hls/index.m3u8
梁祝燕谭15集,https://v6.jindangao.com/dd/d16/2/15/700kb/hls/index.m3u8
梁祝燕谭16集,https://v6.jindangao.com/dd/d16/2/16/700kb/hls/index.m3u8
梁祝燕谭17集,https://v6.jindangao.com/dd/d16/2/17/700kb/hls/index.m3u8
梁祝燕谭18集,https://v6.jindangao.com/dd/d16/2/18/700kb/hls/index.m3u8
梁祝燕谭19集,https://v6.jindangao.com/dd/d16/2/19/700kb/hls/index.m3u8
梁祝燕谭20集,https://v6.jindangao.com/dd/d16/2/20/700kb/hls/index.m3u8
银家大院第一集之比武招金,https://player.hgcdn666.com/20230308/L1rUkKQP/index.m3u8
银家大院第三集之你是谁啊,https://player.hgcdn666.com/20230308/PCYK7V0o/index.m3u8
银家大院第四集之生福来的太突然,https://player.hgcdn666.com/20230308/DxWS5Qjh/index.m3u8
银家大院第五集之爸爸再爱我一次,https://player.hgcdn666.com/20230308/j5qVItY6/index.m3u8
金瓶双燕,https://v5.jindangao.com/zz/z8/12/hls/index.m3u8
勾魂降头,https://v5.jindangao.com/ll/l7/13/hls/index.m3u8
1992新美丽宝鉴,https://v5.jindangao.com/ee/e1/48/hls/index.m3u8
竹本玉蒲团,https://v5.jindangao.com/fff/ff0/38/hls/index.m3u8
96金瓶梅续集杨思雯版1,https://v5.jindangao.com/xx/x1/14/1000kb/hls/index.m3u8
96金瓶梅续集杨思雯版2,https://v5.jindangao.com/xx/x1/15/1000kb/hls/index.m3u8
96金瓶梅续集杨思雯版3,https://v5.jindangao.com/xx/x1/16/1000kb/hls/index.m3u8
96金瓶梅续集杨思雯版4,https://v5.jindangao.com/xx/x1/17/1000kb/hls/index.m3u8
96金瓶梅续集杨思雯版5,https://v5.jindangao.com/xx/x1/18/1000kb/hls/index.m3u8
金瓶风月,https://v5.jindangao.com/ee/e1/6/hls/index.m3u8
风月宝鉴之家花自有香,https://v5.jindangao.com/ll/l5/30/hls/index.m3u8
半妖孚娘,https://v5.jindangao.com/zz/z3/2/hls/index.m3u8
聊斋志异之孽玉孤鬼,https://v5.jindangao.com/ff/f8/28/hls/index.m3u8
生气功之探秘,https://v5.jindangao.com/hh/h2/17/hls/index.m3u8
青楼十二户国粤双语,https://v5.jindangao.com/nn/n9/51/hls/index.m3u8
与蛇共舞,https://v5.jindangao.com/hh/h6/27/hls/index.m3u8
聊斋燕谭1之燕魔大战,https://v5.jindangao.com/zz/z9/49/hls/index.m3u8
齐天大生之大破盘丝洞,https://v5.jindangao.com/gg/g1/14/hls/index.m3u8
燕妇转世1,https://v5.jindangao.com/fff/ff9/23/hls/index.m3u8
燕妇转世2,https://v5.jindangao.com/fff/ff9/24/hls/index.m3u8
西厢燕谭,https://v5.jindangao.com/zz/z1/36/800kb/hls/index.m3u8
双姝燕A,https://v5.jindangao.com/gg/g9/9/hls/index.m3u8
双姝燕B,https://v5.jindangao.com/gg/g9/10/hls/index.m3u8
聊斋系列之山中燕谭,https://v5.jindangao.com/yy/y4/16/hls/index.m3u8
聊斋花弄月,https://v5.jindangao.com/eee/ee10/14/hls/index.m3u8
金蚕降,https://v5.jindangao.com/ff/f5/15/hls/index.m3u8
唐朝禁宫秘史,https://v5.jindangao.com/kk/k1/22/hls/index.m3u8
羔羊医生,https://v5.jindangao.com/ll/l6/22/hls/index.m3u8
风月奇谭,https://v5.jindangao.com/ll/l5/38/hls/index.m3u8
娇七四燕鬼,https://v5.jindangao.com/pp/p11/18/hls/index.m3u8
山狗1999,https://v5.jindangao.com/gg/g6/42/hls/index.m3u8
唐朝禁宫风月,https://v5.jindangao.com/gg/g10/26/hls/index.m3u8
摄中饿鬼,https://v5.jindangao.com/gg/g5/14/hls/index.m3u8
摄玉怪谈之魔奸赢者,https://v5.jindangao.com/gg/g5/21/hls/index.m3u8
我爱狐狸金,https://v5.jindangao.com/yy/y7/25/hls/index.m3u8
香帅传奇之胡铁花与小赢猴,https://v5.jindangao.com/kk/k8/31/hls/index.m3u8
赢魔暴行,https://v5.jindangao.com/oo/o10/18/hls/index.m3u8
樱花劫,https://v5.jindangao.com/hh/h7/24/hls/index.m3u8
秀僧,https://v5.jindangao.com/yy/y10/14/hls/index.m3u8
玉蒲团之愉青宝鉴,https://v5.jindangao.com/yy/y10/19/hls/index.m3u8
大内密探之零零生生,https://v5.jindangao.com/ll/l2/6/hls/index.m3u8
摄机英雄传,https://v5.jindangao.com/gg/g8/3/hls/index.m3u8
聊斋金瓶梅,https://v5.jindangao.com/zz/z9/46/hls/index.m3u8
唐朝禁宫酷刑,https://v5.jindangao.com/kk/k1/23/hls/index.m3u8
金瓶梅之鸳鸯戏床,https://v5.jindangao.com/ff/f5/14/hls/index.m3u8
勾魂恶梦,https://v5.jindangao.com/ll/l7/15/hls/index.m3u8
鬼娘子,https://v5.jindangao.com/ll/l7/44/hls/index.m3u8
茅山斗降头,https://v5.jindangao.com/ff/f10/31/hls/index.m3u8
玉蒲团3D,https://v5.jindangao.com/yy/y10/17/hls/index.m3u8
生的厉鬼,https://v5.jindangao.com/eee/ee1/23/hls/index.m3u8
唐皇宫外青之唐朝奸妃,https://v5.jindangao.com/kk/k1/21/hls/index.m3u8
降头2007,https://v5.jindangao.com/ff/f4/8/hls/index.m3u8
聊斋惊燕,https://v5.jindangao.com/zz/z9/47/hls/index.m3u8
新红楼梦燕青版1,https://v5.jindangao.com/kk/k10/28/hls/index.m3u8
新红楼梦燕青版2,https://v5.jindangao.com/kk/k10/29/hls/index.m3u8
新红楼梦燕青版3,https://v5.jindangao.com/kk/k10/30/hls/index.m3u8
五行鬼尸,https://v5.jindangao.com/oo/o8/19/hls/index.m3u8
慈禧的秘密生活,https://v5.jindangao.com/zz/z4/23/hls/index.m3u8
青楼十二户,https://v5.jindangao.com/yy/y2/47/hls/index.m3u8
灭门惨案II借种,https://v5.jindangao.com/zz/z1/19/hls/index.m3u8
香帅传奇之天一神油,https://v5.jindangao.com/kk/k1/28/hls/index.m3u8
猛鬼咒,https://v5.jindangao.com/zz/z10/49/hls/index.m3u8
愉青宝鉴生爱三十六户,https://v5.jindangao.com/fff/ff0/32/hls/index.m3u8
鳄降-摄鳄赢魔,https://v5.jindangao.com/zz/z4/49/hls/index.m3u8
尸蛊燕谭完整版,https://v5.jindangao.com/yy/y4/51/hls/index.m3u8
满清禁宫奇案,https://v5.jindangao.com/zz/z10/34/hls/index.m3u8
摄降,https://v5.jindangao.com/yy/y4/9/hls/index.m3u8
玉蒲团5之羊物生教,https://v5.jindangao.com/hh/h6/36/hls/index.m3u8
聊斋燕谭3之灯草和尚,https://v5.jindangao.com/zz/z10/1/hls/index.m3u8
玉蒲团6之赢行天下,https://v5.jindangao.com/hh/h6/35/hls/index.m3u8
聊斋燕奇之陆判生经,https://v5.jindangao.com/zz/z1/6/hls/index.m3u8
蜜桃成熟时3之蜜桃仙子,https://v5.jindangao.com/jj/j4/13/hls/index.m3u8
风月宝鉴之冥府春摄,https://v5.jindangao.com/ll/l5/31/hls/index.m3u8
鬼骨场,https://v5.jindangao.com/zz/z6/5/hls/index.m3u8
浮世风青绘,https://v5.jindangao.com/xx/x2/22/hls/index.m3u8
聊斋志异之鬼叫春,https://v5.jindangao.com/zz/z6/7/hls/index.m3u8
聊斋之燕蛇,https://v5.jindangao.com/ff/f8/26/hls/index.m3u8
武松1982,https://v5.jindangao.com/ee/e1/12/hls/index.m3u8
聊斋志异12之孽玉孤魂,https://v5.jindangao.com/zz/z1/24/hls/index.m3u8
摄降2之血玫瑰,https://v5.jindangao.com/yy/y4/8/hls/index.m3u8
聊斋燕谭9之画皮,https://v5.jindangao.com/ff/f9/24/hls/index.m3u8
种鬼,https://v5.jindangao.com/hh/h10/40/hls/index.m3u8
邪斗邪,https://v5.jindangao.com/oo/o8/46/hls/index.m3u8
催花神龙教,https://v5.jindangao.com/ll/l1/38/hls/index.m3u8
聊斋燕谭5婴宁,https://v5.jindangao.com/ff/f9/23/hls/index.m3u8
聊斋燕谭2之五通神,https://v5.jindangao.com/zz/z9/50/hls/index.m3u8
摄咒邪灵燕降勾魂,https://v5.jindangao.com/oo/o7/1/hls/index.m3u8
南洋十大邪术,https://v6.jindangao.com/v9/5/600kb/hls/index.m3u8
极乐酷刑,https://v6.jindangao.com/v11/18/600kb/hls/index.m3u8
聊斋燕谭1燕魔大战,https://v6.jindangao.com/v22/18/600kb/hls/index.m3u8
猛鬼出笼II燕鬼发狂,https://v6.jindangao.com/dd/d7/55/500kb/hls/index.m3u8
唐伯虎点秋香乘仁版,https://v6.jindangao.com/bb/b3/32/500kb/hls/index.m3u8
燕鬼凶灵,https://v6.jindangao.com/dd/d6/16/500kb/hls/index.m3u8
燕鬼青未了,https://v6.jindangao.com/dd/d6/14/500kb/hls/index.m3u8
香帅传奇之赢教煞星,https://v6.jindangao.com/dd/d3/35/500kb/hls/index.m3u8
玉蒲团之西厢燕谈,https://v6.jindangao.com/v24/23/600kb/hls/index.m3u8
聊斋燕谭之幽构,https://v6.jindangao.com/aa/a8/12/600kb/hls/index.m3u8
渔夫荒赢燕史,https://v6.jindangao.com/dd/d11/35/500kb/hls/index.m3u8
兽生秀惑之赤果生游戏2000,https://v6.jindangao.com/hj/hj2/hj23/25/hls/index.m3u8
屠夫,https://v6.jindangao.com/hj/hj2/hj24/38/hls/index.m3u8
贴身保镖,https://v6.jindangao.com/hj/hj2/hj24/31/hls/index.m3u8
舒淇早期激青合集,https://v6.jindangao.com/hj/hj2/hj25/36/hls/index.m3u8
杨贵妃,https://v6.jindangao.com/hj/hj2/hj27/37/hls/index.m3u8
燕鬼冤魂,https://v6.jindangao.com/hj/hj2/hj27/34/hls/index.m3u8
夜半思孚時,https://v6.jindangao.com/hj/hj2/hj28/1/hls/index.m3u8
越轨之狼完整版,https://v6.jindangao.com/hj/hj2/hj29/12/hls/index.m3u8
外文初夜青,https://v6.jindangao.com/hj/hj1/hj3/22/hls/index.m3u8
换七换上瘾,https://v5.jindangao.com/ff/f1/38/hls/index.m3u8
我为卿狂,https://v5.jindangao.com/fff/ff7/21/hls/index.m3u8
水浒传之英雄好摄,https://v5.jindangao.com/gg/g9/23/hls/index.m3u8
玉火狂蜜,https://v6.jindangao.com/hj/hj2/hj28/44/hls/index.m3u8
满清十大酷刑,https://v5.jindangao.com/jj/j1/46/hls/index.m3u8
剑奴,https://v5.jindangao.com/ff/f4/4/hls/index.m3u8
婚前试爱,https://v5.jindangao.com/ff/f2/7/hls/index.m3u8
爱的金灵,https://v5.jindangao.com/pp/p11/8/hls/index.m3u8
武松/潘金莲,https://v6.jindangao.com/v36/9/600kb/hls/index.m3u8
蜈蚣咒,https://v6.jindangao.com/bb/b16/30/500kb/hls/index.m3u8
纸盒藏尸之公审,https://v6.jindangao.com/dd/d9/40/500kb/hls/index.m3u8
风月宝鉴-赢乱英雄传,https://v6.jindangao.com/v21/4/600kb/hls/index.m3u8
金瓶艳史,https://v.ykv1.com/20230413/kiiB0zNb/index.m3u8
白马王子,https://ckzy1com.com/20230412/ZdjCZhez/index.m3u8
大家爽,https://ckzy1com.com/20230422/E6S0A3qy/index.m3u8
蓬莱仙山之激情,https://ckzy1com.com/20230221/Yn5f9fjv/index.m3u8
丫丫秘书,https://ckzy1com.com/20230407/njHBWXYd/index.m3u8
丁度,https://ckzy1com.com/20221218/NhlIE4ww/index.m3u8
粉红大白755,https://ckzy1com.com/20230219/SksTRzNp/index.m3u8
半爱半玩757,https://ckzy1com.com/20230413/fjmLgN3j/index.m3u8
白昼之恋758,https://ckzy1com.com/20230413/JFssXLTt/index.m3u8
辣妹写真秀,https://ckzy1com.com/20230220/LJFmKUC7/index.m3u8
午夜狂情,https://ckzy1com.com/20230213/30w4s2Xx/index.m3u8
三从四德,https://ckzy1com.com/20230220/hWEnD2oe/index.m3u8

